               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.035652,            0.019198,           0.0018122,             0.74922,             0.90993,             0.95375,              0.4285,            0.010584,           0.0048723,          0.00048344,           0.0033175,           0.0033175,           0.0033175
                 137,            0.042949,            0.019991,             0.00614,             0.72524,             0.93751,               0.929,             0.48545,              0.0117,           0.0046311,          0.00052782,            0.003268,            0.003268,            0.003268
                 138,             0.03561,            0.028241,           0.0050352,             0.72524,             0.93751,               0.929,             0.48545,              0.0117,           0.0046311,          0.00052782,           0.0032185,           0.0032185,           0.0032185
                 139,             0.05415,            0.020179,           0.0014159,             0.86245,             0.83333,              0.9125,             0.42965,            0.010717,           0.0046048,          0.00047472,            0.003169,            0.003169,            0.003169
                 140,            0.042755,            0.022292,           0.0017425,             0.86245,             0.83333,              0.9125,             0.42965,            0.010717,           0.0046048,          0.00047472,           0.0031195,           0.0031195,           0.0031195
                 141,            0.054423,            0.024569,           0.0015333,             0.83731,             0.80932,              0.9125,               0.482,            0.011241,           0.0043103,          0.00050937,             0.00307,             0.00307,             0.00307
                 142,             0.05543,            0.015332,           0.0010093,             0.83731,             0.80932,              0.9125,               0.482,            0.011241,           0.0043103,          0.00050937,           0.0030205,           0.0030205,           0.0030205
                 143,            0.056968,            0.024568,           0.0026963,             0.69201,             0.77981,             0.88775,              0.4824,              0.0098,           0.0041931,          0.00054377,            0.002971,            0.002971,            0.002971
                 144,            0.038177,            0.015816,            0.001147,             0.69201,             0.77981,             0.88775,              0.4824,              0.0098,           0.0041931,          0.00054377,           0.0029215,           0.0029215,           0.0029215
                 145,            0.020741,            0.015916,           0.0015197,             0.66454,             0.80418,             0.88775,             0.56695,            0.011173,           0.0039885,          0.00061601,            0.002872,            0.002872,            0.002872
                 146,            0.041994,            0.022388,            0.001026,             0.66454,             0.80418,             0.88775,             0.56695,            0.011173,           0.0039885,          0.00061601,           0.0028225,           0.0028225,           0.0028225
                 147,            0.040838,            0.014275,           0.0016994,             0.63189,             0.93596,             0.88775,             0.62595,           0.0089131,           0.0040569,          0.00062844,            0.002773,            0.002773,            0.002773
                 148,            0.048775,            0.021703,           0.0042402,             0.63189,             0.93596,             0.88775,             0.62595,           0.0089131,           0.0040569,          0.00062844,           0.0027235,           0.0027235,           0.0027235
                 149,            0.036652,            0.018138,           0.0015388,             0.71768,             0.98398,              0.9125,             0.64734,            0.010019,           0.0038505,          0.00064131,            0.002674,            0.002674,            0.002674
                 150,            0.033695,              0.0171,          0.00092239,             0.71768,             0.98398,              0.9125,             0.64734,            0.010019,           0.0038505,          0.00064131,           0.0026245,           0.0026245,           0.0026245
                 151,            0.041691,            0.017751,           0.0028486,             0.86231,             0.98611,             0.95375,              0.6649,           0.0084416,           0.0039535,          0.00053904,            0.002575,            0.002575,            0.002575
